rowid,modelname,imagefilename,classid,classtext,value,inference,modelrun,processed_flag,storeid,storename,s3path_actual_file,s3path_annotated_file
1,yolo_activation,IMG-MQ82MVHX-SA3J.jpg,1064,Shelf Display,Y,1.0,2026-06-22 12:47:35.394341,N,8000000227,Bigmart,april_store_images/IMG-MQ82MVHX-SA3J.jpg,ModelResults/VisibleItem_423/IMG-MQ82MVHX-SA3J.jpg
2,yolo_activation,IMG-MQ82MTWI-3OCQ.jpg,1063,Wobbler,Y,1.0,2026-06-22 12:47:36.354321,N,8000000227,Bigmart,april_store_images/IMG-MQ82MTWI-3OCQ.jpg,ModelResults/VisibleItem_423/IMG-MQ82MTWI-3OCQ.jpg
3,yolo_activation,IMG-MQ82MTWI-3OCQ.jpg,1064,Shelf Display,Y,1.0,2026-06-22 12:47:36.354321,N,8000000227,Bigmart,april_store_images/IMG-MQ82MTWI-3OCQ.jpg,ModelResults/VisibleItem_423/IMG-MQ82MTWI-3OCQ.jpg
4,yolo_activation,IMG-MQ82N3BP-9WHE.jpg,1064,Shelf Display,Y,1.0,2026-06-22 12:47:36.870891,N,8000000227,Bigmart,april_store_images/IMG-MQ82N3BP-9WHE.jpg,ModelResults/VisibleItem_423/IMG-MQ82N3BP-9WHE.jpg
5,yolo_activation,IMG-MQ82N1S5-OX2C.jpg,1064,Shelf Display,Y,1.0,2026-06-22 12:47:37.386892,N,8000000227,Bigmart,april_store_images/IMG-MQ82N1S5-OX2C.jpg,ModelResults/VisibleItem_423/IMG-MQ82N1S5-OX2C.jpg
6,yolo_activation,IMG-MQ82MSB9-H7UI.jpg,1063,Wobbler,Y,1.0,2026-06-22 12:47:37.892259,N,8000000227,Bigmart,april_store_images/IMG-MQ82MSB9-H7UI.jpg,ModelResults/VisibleItem_423/IMG-MQ82MSB9-H7UI.jpg
7,yolo_activation,IMG-MQ82MSB9-H7UI.jpg,1019,Other Elements branded by Coca-Cola - Poster,Y,1.0,2026-06-22 12:47:37.892259,N,8000000227,Bigmart,april_store_images/IMG-MQ82MSB9-H7UI.jpg,ModelResults/VisibleItem_423/IMG-MQ82MSB9-H7UI.jpg
8,yolo_activation,IMG-MQ82MYQK-MSB2.jpg,1063,Wobbler,Y,1.0,2026-06-22 12:47:38.405771,N,8000000227,Bigmart,april_store_images/IMG-MQ82MYQK-MSB2.jpg,ModelResults/VisibleItem_423/IMG-MQ82MYQK-MSB2.jpg
9,yolo_activation,IMG-MQ82MYQK-MSB2.jpg,1064,Shelf Display,Y,1.0,2026-06-22 12:47:38.405771,N,8000000227,Bigmart,april_store_images/IMG-MQ82MYQK-MSB2.jpg,ModelResults/VisibleItem_423/IMG-MQ82MYQK-MSB2.jpg
10,yolo_activation,IMG-MQ82MPU2-H6HU.jpg,1087,MT Rack Display,Y,1.0,2026-06-22 12:47:38.915972,N,8000000227,Bigmart,april_store_images/IMG-MQ82MPU2-H6HU.jpg,ModelResults/VisibleItem_423/IMG-MQ82MPU2-H6HU.jpg
